pin,yearsEligible,totalRefund,currentMarketValue,previousMarketValue,percentChange
01113000180000,,,640000.0,640000.0,0.0%
01013170120000,0.0,0.0,310000.0,310000.0,0.0%
01014090140000,0.0,0.0,454510.0,454510.0,0.0%
01224010470000,,,705310.0,730000.0,-3.38%
01362030030000,,,590000.0,590000.0,0.0%
01341060130000,0.0,0.0,1480000.0,1480000.0,0.0%
01012160680000,,,1003440.0,1003440.0,0.0%
01121130040000,,,550000.0,550000.0,0.0%
01263000170000,0.0,0.0,680000.0,680000.0,0.0%
01014090050000,4.0,22471.26,471040.0,471040.0,0.0%
01252050070000,,,360000.0,360000.0,0.0%
01013180070000,4.0,19812.05,440000.0,440000.0,0.0%
01282080100000,0.0,0.0,1035970.0,1035970.0,0.0%
01013180260000,,,370000.0,370000.0,0.0%
01124070560000,,,375000.0,375000.0,0.0%
01242070220000,,,420000.0,420000.0,0.0%
01014020220000,0.0,0.0,640000.0,640000.0,0.0%
01244100060000,4.0,8805.35,400000.0,400000.0,0.0%
01013000070000,0.0,0.0,340000.0,340000.0,0.0%
01341030040000,,,881450.0,881450.0,0.0%
01242020190000,0.0,0.0,328730.0,350000.0,-6.08%
01022080220000,,,800000.0,800000.0,0.0%
01281020100000,,,638940.0,638940.0,0.0%
01233060070000,0.0,0.0,652020.0,711500.0,-8.36%
01284040010000,,,859430.0,859430.0,0.0%
01264060130000,,,2000000.0,124040.0,1512.38%
01013100150000,,,400000.0,400000.0,0.0%
01284040090000,,,673880.0,673880.0,0.0%
01011080200000,,,466990.0,557890.0,-16.29%
01221050010000,0.0,0.0,1266250.0,1266250.0,0.0%
01073020030000,,,750010.0,750010.0,0.0%
01013050030000,0.0,0.0,270000.0,270000.0,0.0%
01252100010000,3.0,16394.17,410000.0,410000.0,0.0%
01022030150000,0.0,0.0,350000.0,350000.0,0.0%
01352020030000,,,840000.0,840000.0,0.0%
01244040120000,,,360000.0,360000.0,0.0%
01261000140000,,,820000.0,820000.0,0.0%
01283000020000,,,461060.0,461060.0,0.0%
01013080220000,,,729990.0,729990.0,0.0%
01284050080000,0.0,0.0,622210.0,622210.0,0.0%
01043020110000,4.0,39914.67,630010.0,630010.0,0.0%
01351050040000,4.0,4169.34,769470.0,769470.0,0.0%
01123070320000,,,502510.0,502510.0,0.0%
01244000170000,,,855380.0,960000.0,-10.9%
01211000180000,,,194770.0,383100.0,-49.16%
01011261060000,,,1158150.0,1270000.0,-8.81%
01284080030000,0.0,0.0,592050.0,592050.0,0.0%
01024100020000,4.0,6604.02,580000.0,580000.0,0.0%
01234040070000,,,1170000.0,1170000.0,0.0%
01011200030000,,,400000.0,400000.0,0.0%
01213010100000,0.0,0.0,547090.0,547090.0,0.0%
01282080270000,0.0,0.0,793960.0,793960.0,0.0%
01013060010000,,,370000.0,370000.0,0.0%
01213000020000,0.0,0.0,741550.0,741550.0,0.0%
01272000150000,,,580000.0,580000.0,0.0%
01121090050000,0.0,0.0,921330.0,921330.0,0.0%
01011240500000,0.0,0.0,390000.0,390000.0,0.0%
01242020100000,,,340000.0,340000.0,0.0%
01284120050000,,,623170.0,623170.0,0.0%
01011260780000,3.0,1639.42,440000.0,440000.0,0.0%
01011240060000,,,510000.0,510000.0,0.0%
01123060010000,0.0,0.0,594270.0,594270.0,0.0%
01011250040000,0.0,0.0,330000.0,330000.0,0.0%
01121090020000,0.0,0.0,1054230.0,1054230.0,0.0%
01244080140000,,,402270.0,402270.0,0.0%
01011100090000,,,890000.0,890000.0,0.0%
01284060110000,0.0,0.0,556510.0,556510.0,0.0%
01013200360000,,,359230.0,359230.0,0.0%
01252010240000,4.0,9241.22,400000.0,400000.0,0.0%
01033010400000,,,1431410.0,1579680.0,-9.39%
01123031190000,,,462000.0,462000.0,0.0%
01061000340000,,,510000.0,510000.0,0.0%
01273090050000,0.0,0.0,1066740.0,1066740.0,0.0%
01011230070000,,,330000.0,330000.0,0.0%
01222030160000,,,754360.0,754360.0,0.0%
01122090140000,4.0,1435.27,416480.0,450000.0,-7.45%
01013150050000,,,280000.0,280000.0,0.0%
01244090160000,,,380000.0,380000.0,0.0%
01271030090000,0.0,0.0,800000.0,800000.0,0.0%
01134010320000,0.0,0.0,590000.0,590000.0,0.0%
01151010100000,,,903390.0,1030000.0,-12.29%
01013130090000,,,287440.0,287440.0,0.0%
01011250260000,0.0,0.0,440000.0,440000.0,0.0%
01274070130000,0.0,0.0,790000.0,790000.0,0.0%
01283000050000,,,376310.0,376310.0,0.0%
01013000030000,4.0,45779.04,878980.0,878980.0,0.0%
01244040070000,4.0,23118.46,420000.0,420000.0,0.0%
01112020390000,,,830280.0,830280.0,0.0%
01012130090000,4.0,15354.34,590860.0,590860.0,0.0%
01242060210000,0.0,0.0,298890.0,298890.0,0.0%
01011220120000,,,360000.0,360000.0,0.0%
01011000890000,4.0,3949.2,572720.0,572720.0,0.0%
01351000060000,,,361020.0,361020.0,0.0%
01132060020000,4.0,77242.77,1019270.0,1019270.0,0.0%
01011230190000,,,389580.0,389580.0,0.0%
01244040190000,,,380000.0,380000.0,0.0%
01252050140000,,,400000.0,400000.0,0.0%
01052000020000,,,780000.0,780000.0,0.0%
